cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
3021021,30,10,20,40,ot2,with,any,male,with,0,3021021,#NUM!,2,1,0,2,1,,0,1
3021100,30,10,20,40,ot2,with,younger,any,any,0,3021100,#NUM!,2,1,1,0,0,,1,0
3021101,30,10,20,40,ot2,with,younger,any,with,0,3021101,#NUM!,2,1,1,0,1,,1,0
3021110,30,10,20,40,ot2,with,younger,female,any,0,3021110,#NUM!,2,1,1,1,0,,1,1
3021120,30,10,20,40,ot2,with,younger,male,any,0,3021120,#NUM!,2,1,1,2,0,,1,1
3021111,30,10,20,40,ot2,with,younger,female,with,0,3021111,#NUM!,2,1,1,1,1,,1,1
3021121,30,10,20,40,ot2,with,younger,male,with,0,3021121,#NUM!,2,1,1,2,1,,1,1
3021300,30,10,20,40,ot2,with,older,any,any,0,3021300,#NUM!,2,1,3,0,0,,1,0
3021301,30,10,20,40,ot2,with,older,any,with,0,3021301,#NUM!,2,1,3,0,1,,1,0
3021310,30,10,20,40,ot2,with,older,female,any,0,3021310,#NUM!,2,1,3,1,0,,1,1
3021320,30,10,20,40,ot2,with,older,male,any,0,3021320,#NUM!,2,1,3,2,0,,1,1
3021311,30,10,20,40,ot2,with,older,female,with,0,3021311,#NUM!,2,1,3,1,1,,1,1
3021321,30,10,20,40,ot2,with,older,male,with,0,3021321,#NUM!,2,1,3,2,1,,1,1
4010000,40,10,20,30,ot1,no,any,any,any,0,4010000,80,1,0,0,0,0,,0,0
4010001,40,10,20,30,ot1,no,any,any,with,0,4010001,81,1,0,0,0,1,,0,0
4010010,40,10,20,30,ot1,no,any,female,any,0,4010010,82,1,0,0,1,0,,0,1
4010020,40,10,20,30,ot1,no,any,male,any,0,4010020,82,1,0,0,2,0,,0,1
4010011,40,10,20,30,ot1,no,any,female,with,0,4010011,83,1,0,0,1,1,,0,1
4010021,40,10,20,30,ot1,no,any,male,with,0,4010021,83,1,0,0,2,1,,0,1
4010100,40,10,20,30,ot1,no,younger,any,any,0,4010100,84,1,0,1,0,0,,1,0
4010101,40,10,20,30,ot1,no,younger,any,with,0,4010101,85,1,0,1,0,1,,1,0
4010110,40,10,20,30,ot1,no,younger,female,any,0,4010110,86,1,0,1,1,0,,1,1
4010120,40,10,20,30,ot1,no,younger,male,any,0,4010120,86,1,0,1,2,0,,1,1
4010111,40,10,20,30,ot1,no,younger,female,with,0,4010111,87,1,0,1,1,1,,1,1
4010121,40,10,20,30,ot1,no,younger,male,with,0,4010121,87,1,0,1,2,1,,1,1
